No.,Source,Destination,Cost
1,0xec7f,0x0000,1
2,0xec7f,0x0112,7
3,0xec7f,0x1cd8,1
4,0xec7f,0x1e15,1
5,0xec7f,0x3d95,1
6,0xec7f,0x4e11,1
7,0xec7f,0xa706,5
8,0xec7f,0xe1a6,1
9,0x1cd8,0x0000,1
10,0x1cd8,0x0112,3
11,0x1cd8,0x1e15,1
12,0x1cd8,0x3d95,1
13,0x1cd8,0x4e11,3
14,0x1cd8,0xa706,2
15,0x1cd8,0xe1a6,1
16,0x1cd8,0xec7f,1
17,0x1e15,0x0000,1
18,0x1e15,0x1cd8,1
19,0x1e15,0x3d95,1
20,0x1e15,0x4e11,3
21,0x1e15,0xa706,7
22,0x1e15,0xe1a6,1
23,0x1e15,0xec7f,1
24,0xa706,0x0000,1
25,0xa706,0x0112,3
26,0xa706,0x1cd8,1
27,0xa706,0x1e15,7
28,0xa706,0x3d95,7
29,0xa706,0xe1a6,5
30,0xa706,0xec7f,1
31,0x3d95,0x0000,1
32,0x3d95,0x0112,7
33,0x3d95,0x1cd8,1
34,0x3d95,0x1e15,1
35,0x3d95,0x4e11,3
36,0x3d95,0xa706,7
37,0x3d95,0xe1a6,1
38,0x3d95,0xec7f,1
39,0x4e11,0x0000,1
40,0x4e11,0x0112,7
41,0x4e11,0x1cd8,1
42,0x4e11,0x1e15,3
43,0x4e11,0x3d95,2
44,0x4e11,0xa706,0
45,0x4e11,0xe1a6,1
46,0x4e11,0xec7f,1
47,0xe1a6,0x0000,1
48,0xe1a6,0x0112,7
49,0xe1a6,0x1cd8,1
50,0xe1a6,0x1e15,1
51,0xe1a6,0x3d95,1
52,0xe1a6,0x4e11,1
53,0xe1a6,0xa706,5
54,0xe1a6,0xec7f,1
55,0x112,0x0000,1
56,0x112,0x1cd8,1
57,0x112,0x1e15,0
58,0x112,0x3d95,7
59,0x112,0x4e11,3
60,0x112,0xa706,3
61,0x112,0xe1a6,5
62,0x112,0xec7f,1
63,0x0,0x0112,3
64,0x0,0x1cd8,1
65,0x0,0x1e15,3
66,0x0,0x3d95,3
67,0x0,0x4e11,3
68,0x0,0xa706,5
69,0x0,0xe1a6,1
70,0x0,0xec7f,1

